Rank,Ticker,Last_Price,Momentum_14d,Vol_Surge,Range_Pos_325,Radar_Score,Threshold,Distance_%,Z_Score,Prev_Close
1,SWKS,85.59,18.97,1.13,0.8356,17.9011,6.45,177.54,4.05,90.0
2,BNGO,1.51,0.3,0.83,0.1133,0.0283,0.0147,91.58,0.25,1.56
3,OKTA,188.12,53.7,0.84,0.9701,43.6536,23.9133,82.55,2.45,190.45
4,VLO,403.28,55.25,1.29,0.986,70.0143,38.3966,82.35,3.93,397.04
5,DELL,563.29,99.47,1.35,0.9715,130.6213,73.6846,77.27,2.26,543.51
6,CRWD,241.36,52.18,0.97,0.976,49.4897,32.9647,50.13,2.86,242.49
7,FIVN,34.08,2.08,1.88,0.9497,3.7222,2.5504,45.95,2.22,33.02
8,MPC,413.92,51.65,1.16,0.9795,58.7585,45.0588,30.4,3.11,410.84
9,PDBC,19.8,1.62,1.23,0.9544,1.8944,1.5307,23.76,1.96,20.1
10,CRM,250.54,44.92,0.58,0.8132,21.0924,17.2301,22.42,1.42,255.65
11,UUP,28.4,0.38,1.74,0.9252,0.6132,0.5281,16.12,1.73,28.22
12,TXG,72.68,8.42,1.44,0.9247,11.2126,9.8046,14.36,2.44,74.39
13,DBX,37.74,2.94,1.12,0.9739,3.2043,3.1823,0.69,1.79,37.63
