Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-16,21.95,249.45,1.68,-0.25,-9.07,❌ LOS
2024-12-17,21.93,251.87,1.86,-3.8,-9.27,❌ LOS
2024-12-20,43.19,252.87,-0.9,-4.83,-12.11,❌ LOS
2025-08-08,21.68,228.44,1.09,-0.58,3.84,✅ WIN
2025-09-19,33.2,244.81,4.06,5.1,2.77,✅ WIN
2025-09-22,45.47,255.36,-0.64,0.24,2.41,✅ WIN
2025-10-30,38.57,270.63,-0.6,0.67,2.84,✅ WIN
2025-10-31,38.18,269.61,-0.7,0.85,4.81,✅ WIN
2025-11-03,20.45,268.29,0.24,-0.49,6.47,✅ WIN
2026-02-04,23.7,275.98,-0.26,-5.67,-5.77,❌ LOS
2026-02-11,22.3,275.25,-5.42,-0.93,-7.17,❌ LOS
2026-04-17,25.27,269.98,0.31,3.67,11.2,✅ WIN
