Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-06-10,1.23,3.02,3.31,25.83,40.73,✅ WIN
2025-06-11,2.01,3.23,7.43,15.79,24.15,✅ WIN
2025-06-25,1.15,3.8,-1.32,11.84,32.11,✅ WIN
2025-07-18,1.32,4.48,14.06,-5.36,2.46,✅ WIN
2025-07-21,3.54,5.15,-4.47,-15.73,-9.32,❌ LOS
2025-09-23,1.64,4.9,2.65,17.76,13.88,✅ WIN
2025-10-01,3.63,5.96,3.52,2.35,-5.7,❌ LOS
2025-10-02,2.64,5.98,-1.17,-2.34,-10.37,❌ LOS
2025-10-03,2.26,5.9,-6.27,-5.25,-5.93,❌ LOS
2025-10-06,1.12,5.87,-3.41,-0.17,-8.52,❌ LOS
2025-10-08,2.21,6.17,-1.13,-11.35,-23.99,❌ LOS
2025-10-09,1.09,5.91,-1.18,-3.38,-23.35,❌ LOS
2025-10-15,1.23,6.1,-10.33,-7.87,-34.92,❌ LOS
2026-04-27,1.17,4.16,10.34,26.2,27.16,✅ WIN
2026-05-08,1.37,5.24,-21.95,-0.76,3.44,✅ WIN
2026-05-11,1.51,5.25,-20.76,0.76,0.95,✅ WIN
2026-05-12,1.11,4.95,-18.18,9.9,2.83,✅ WIN
