Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-13,19.5,141.04,3.57,-1.54,-12.89,❌ LOS
2025-02-14,106.89,161.42,-10.28,-12.66,-21.36,❌ LOS
2025-02-18,34.66,160.6,-11.86,-11.94,-22.44,❌ LOS
2025-02-19,23.64,157.98,-8.83,-9.75,-20.24,❌ LOS
2025-02-20,15.25,155.31,-10.21,-13.23,-18.78,❌ LOS
2025-12-19,18.19,135.28,0.99,2.03,-1.25,❌ LOS
2026-04-17,14.14,141.55,0.9,0.08,-6.15,❌ LOS
2026-04-22,16.22,144.18,-2.7,-2.98,-5.99,❌ LOS
2026-06-18,15.67,142.41,2.21,3.68,1.78,✅ WIN
2026-06-26,17.41,145.56,1.44,0.53,0.89,✅ WIN
2026-06-29,14.92,147.17,1.11,-0.43,4.04,✅ WIN
2026-07-01,14.15,147.31,-0.29,0.33,3.24,✅ WIN
2026-07-02,15.4,148.93,-0.21,-1.98,1.74,✅ WIN
