Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-22,12.13,114.08,8.56,12.12,13.07,✅ WIN
2025-01-23,24.9,119.35,4.54,4.06,9.5,✅ WIN
2025-01-24,20.12,121.1,2.32,3.23,7.93,✅ WIN
2025-01-27,29.44,125.36,-0.76,1.45,4.94,✅ WIN
2025-01-28,24.27,123.38,1.34,3.18,6.73,✅ WIN
2025-01-29,15.21,123.84,3.28,2.06,6.26,✅ WIN
2025-01-30,12.8,124.76,-0.46,2.31,7.14,✅ WIN
2025-01-31,14.67,123.91,0.89,2.09,9.61,✅ WIN
2025-02-03,11.49,124.41,2.23,1.35,7.11,✅ WIN
2025-02-04,14.68,125.04,1.81,2.35,6.67,✅ WIN
2025-02-05,22.83,127.91,-1.19,0.84,2.29,✅ WIN
2025-02-06,10.49,124.19,2.78,5.23,6.96,✅ WIN
2025-02-07,11.5,125.01,1.19,4.56,6.42,✅ WIN
2025-02-10,9.63,127.18,-0.86,3.43,1.03,✅ WIN
2025-02-11,8.72,127.31,0.52,3.44,-0.88,❌ LOS
2025-02-21,7.17,130.68,2.29,1.65,-6.36,❌ LOS
2025-02-28,12.83,133.67,-0.63,-8.19,-5.21,❌ LOS
2025-03-03,10.98,135.81,-2.04,-8.97,-5.4,❌ LOS
2025-03-04,7.62,133.25,-3.58,-8.2,-4.28,❌ LOS
2025-03-05,8.67,133.38,-5.4,-7.47,-4.2,❌ LOS
2025-03-07,7.66,132.83,-7.61,-7.88,-9.26,❌ LOS
