Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-05-16,33.19,22.26,-1.26,-3.55,-0.54,❌ LOS
2025-05-19,7.44,21.99,0.91,-0.05,3.68,✅ WIN
2025-05-20,4.45,21.69,1.52,0.37,5.81,✅ WIN
2025-05-21,4.08,21.85,2.01,-2.33,3.94,✅ WIN
2025-05-27,3.33,22.19,-0.95,0.05,1.4,✅ WIN
2025-06-20,3.21,22.71,-2.6,-8.06,-1.89,❌ LOS
2025-08-12,4.42,25.45,-1.89,1.06,-6.48,❌ LOS
2025-08-15,4.17,25.33,1.62,2.61,-2.61,❌ LOS
2025-08-22,2.92,25.74,0.97,-1.36,-4.7,❌ LOS
2025-08-27,2.71,26.57,-4.03,-8.92,-20.17,❌ LOS
2025-11-26,3.15,24.81,7.01,7.54,11.33,✅ WIN
2025-12-04,3.36,26.55,0.49,0.19,-1.51,❌ LOS
2025-12-05,4.67,27.44,-1.06,-1.02,-1.82,❌ LOS
2025-12-09,3.56,26.89,-0.33,3.5,0.07,✅ WIN
2025-12-10,3.84,26.81,0.45,3.95,-0.11,❌ LOS
2025-12-12,3.3,27.15,0.04,0.41,-2.54,❌ LOS
2025-12-15,3.07,27.26,2.93,-2.05,-1.47,❌ LOS
2025-12-19,4.73,27.16,0.37,-0.81,-1.47,❌ LOS
2026-04-17,3.48,22.17,-0.95,-0.99,-3.47,❌ LOS
