Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-05-13,1.42,26.94,-6.46,-15.55,-15.48,❌ LOS
2026-02-25,5.41,20.84,15.5,14.64,16.65,✅ WIN
2026-02-26,3.72,22.29,10.63,8.34,7.0,✅ WIN
2026-02-27,4.86,23.44,9.3,0.34,-2.26,❌ LOS
2026-03-02,2.89,23.44,5.42,-2.77,-2.6,❌ LOS
2026-03-03,2.34,22.99,9.35,3.22,1.74,✅ WIN
2026-03-04,1.87,24.07,-0.75,-3.61,-1.66,❌ LOS
2026-03-05,2.51,24.66,-2.07,-6.89,-2.84,❌ LOS
2026-03-06,3.54,25.62,-8.2,-11.28,-2.77,❌ LOS
2026-03-09,2.42,24.71,-7.77,-6.19,2.75,✅ WIN
2026-03-10,2.14,25.14,-5.61,-9.75,4.65,✅ WIN
2026-03-11,1.4,23.89,-2.89,1.76,13.86,✅ WIN
2026-03-12,2.82,24.15,-4.93,-1.24,7.41,✅ WIN
2026-03-13,1.47,23.52,-3.36,-2.59,12.88,✅ WIN
2026-03-16,1.53,22.79,1.71,0.18,16.54,✅ WIN
2026-04-08,1.47,26.31,1.14,6.46,-3.84,❌ LOS
2026-04-09,2.39,27.2,-1.14,0.51,-10.07,❌ LOS
2026-04-17,2.15,27.0,1.41,3.15,-4.41,❌ LOS
2026-04-20,2.72,27.84,1.11,-0.54,-9.09,❌ LOS
2026-04-22,1.82,28.01,0.89,-9.68,-14.07,❌ LOS
