Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-09,6.89,119.0,-0.42,-2.39,-2.95,❌ LOS
2025-04-29,7.22,114.34,1.27,4.86,5.53,✅ WIN
2025-05-12,10.49,119.27,1.97,1.9,3.68,✅ WIN
2025-05-21,10.59,119.97,0.95,1.67,1.59,✅ WIN
2025-05-27,8.54,121.53,0.4,1.75,2.44,✅ WIN
2025-05-29,9.36,121.1,0.72,2.37,4.13,✅ WIN
2025-05-30,11.1,120.85,1.71,1.41,4.81,✅ WIN
2025-10-30,7.56,139.04,-1.3,-0.72,0.21,✅ WIN
2025-12-12,10.23,139.63,0.27,1.33,3.1,✅ WIN
2026-01-08,9.63,142.84,0.86,0.97,1.75,✅ WIN
2026-04-13,12.74,145.46,2.73,2.8,6.23,✅ WIN
2026-04-16,11.69,147.94,0.24,1.77,5.2,✅ WIN
2026-04-17,10.15,149.93,-0.27,0.5,2.11,✅ WIN
2026-04-20,11.11,149.44,0.07,0.19,2.62,✅ WIN
2026-04-21,7.29,147.78,0.59,2.43,2.96,✅ WIN
2026-04-23,12.91,148.29,1.53,3.14,4.31,✅ WIN
2026-04-24,11.09,149.52,0.78,3.25,3.65,✅ WIN
2026-04-27,6.77,149.54,0.13,3.34,4.87,✅ WIN
2026-04-30,9.27,150.56,1.58,3.37,4.62,✅ WIN
