Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-05-12,9.86,395.94,6.25,4.33,5.08,✅ WIN
2025-05-13,8.48,397.4,5.09,3.73,3.89,✅ WIN
2025-05-15,8.16,404.69,2.38,2.57,-3.21,❌ LOS
2025-05-16,24.41,417.13,-2.26,-3.29,-3.69,❌ LOS
2025-05-19,14.7,420.68,-1.8,-1.95,-9.03,❌ LOS
2025-05-20,10.06,417.61,-1.29,-0.89,-9.48,❌ LOS
2025-05-21,9.28,414.03,-0.16,0.28,-8.96,❌ LOS
2025-05-30,14.82,415.09,0.44,-5.64,-6.8,❌ LOS
2025-12-11,12.59,350.43,1.54,0.96,-6.5,❌ LOS
2025-12-19,9.42,355.86,-0.76,-5.58,-17.32,❌ LOS
2026-06-01,10.1,274.03,-10.6,-24.69,-25.18,❌ LOS
2026-07-28,10.43,249.18,3.33,5.83,9.93,✅ WIN
2026-07-29,22.09,263.43,-1.56,-1.78,3.81,✅ WIN
