Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-19,75.14,237.0,-3.28,-4.63,-12.74,❌ LOS
2025-02-20,41.93,239.12,-8.19,-8.24,-15.19,❌ LOS
2025-05-12,55.01,219.8,0.62,-2.81,5.04,✅ WIN
2025-05-13,38.71,223.27,-0.97,-4.88,3.05,✅ WIN
2025-08-20,46.0,242.29,4.34,0.9,2.11,✅ WIN
2025-08-21,39.49,244.35,2.96,0.44,-0.26,❌ LOS
2025-08-22,37.05,249.54,-0.35,-0.89,-1.54,❌ LOS
2025-08-26,48.98,252.93,-3.96,-2.91,-2.36,❌ LOS
2025-12-01,57.07,264.74,5.11,5.6,3.48,✅ WIN
2025-12-02,45.76,271.16,1.56,2.35,-0.3,❌ LOS
2025-12-05,38.33,279.43,-0.35,-2.09,4.51,✅ WIN
2025-12-10,56.65,280.69,-3.74,-1.42,6.88,✅ WIN
2025-12-11,37.45,282.51,-2.99,-2.31,3.69,✅ WIN
2025-12-12,43.48,278.45,-1.75,-1.32,6.05,✅ WIN
2026-02-04,36.58,319.44,5.17,7.76,3.22,✅ WIN
2026-02-17,35.96,336.46,5.51,0.75,-6.78,❌ LOS
2026-02-18,53.81,345.29,4.17,-1.09,-10.63,❌ LOS
2026-02-20,52.1,353.92,0.21,-10.77,-12.57,❌ LOS
2026-02-24,42.23,354.98,-4.5,-10.19,-9.34,❌ LOS
2026-02-27,42.92,354.68,-10.96,-13.71,-13.32,❌ LOS
