Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-06-16,7.99,52.17,-2.27,0.54,-0.3,❌ LOS
2025-08-20,7.96,59.01,3.26,1.99,0.16,✅ WIN
2025-08-21,8.13,59.38,2.52,2.98,0.87,✅ WIN
2025-08-22,12.23,61.13,-0.45,-0.99,-4.86,❌ LOS
2026-01-14,11.75,63.3,3.9,3.59,7.59,✅ WIN
2026-01-15,13.75,65.23,1.41,1.11,4.42,✅ WIN
2026-01-20,9.02,64.55,3.57,2.29,3.26,✅ WIN
2026-01-21,11.4,66.33,-0.44,-0.53,2.48,✅ WIN
2026-01-22,11.55,65.76,-0.3,-2.52,1.89,✅ WIN
2026-05-04,10.45,75.29,4.68,6.08,8.83,✅ WIN
2026-05-05,29.57,78.18,1.94,0.25,6.91,✅ WIN
2026-05-06,12.17,77.02,6.24,0.05,7.56,✅ WIN
2026-05-07,11.54,76.54,5.0,0.13,5.06,✅ WIN
2026-05-11,8.01,78.82,1.34,-1.65,1.01,✅ WIN
2026-05-12,11.51,79.7,-1.66,-0.81,1.35,✅ WIN
2026-05-13,12.78,81.83,-5.83,-2.8,-4.19,❌ LOS
2026-05-15,10.2,79.37,-2.95,3.44,-0.76,❌ LOS
2026-07-17,10.96,85.36,0.02,-7.72,-6.34,❌ LOS
2026-07-20,8.3,85.13,-2.89,-8.88,-5.11,❌ LOS
2026-07-21,10.51,85.66,-3.5,-7.34,-4.35,❌ LOS
2026-07-22,11.72,86.77,-7.95,-11.15,-6.93,❌ LOS
