Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-22,4.12,8.01,-3.75,0.5,4.0,✅ WIN
2025-05-02,9.79,9.84,-8.23,-8.03,-2.95,❌ LOS
2025-05-05,4.07,10.03,-5.18,-8.28,-0.9,❌ LOS
2025-06-25,6.68,11.98,-4.17,0.83,-11.02,❌ LOS
2025-06-26,5.67,12.16,-2.96,-2.8,-11.6,❌ LOS
2025-06-27,7.02,11.79,-0.42,-2.04,-10.01,❌ LOS
2025-08-07,5.44,12.54,3.03,0.72,2.47,✅ WIN
2025-09-30,5.87,14.96,-4.08,4.14,12.97,✅ WIN
2025-10-15,4.03,17.11,-3.86,-1.81,-15.25,❌ LOS
2025-11-24,6.56,20.46,-8.65,-27.37,-18.13,❌ LOS
2025-12-03,3.76,17.13,-8.11,-5.9,-7.12,❌ LOS
2026-06-04,10.04,18.08,3.6,-3.04,18.92,✅ WIN
2026-06-09,4.12,17.36,-0.81,11.41,25.58,✅ WIN
2026-06-11,10.76,18.73,-6.41,11.91,12.23,✅ WIN
2026-06-12,3.98,17.6,-1.31,21.59,21.76,✅ WIN
2026-06-16,7.0,17.22,12.31,29.91,28.34,✅ WIN
2026-06-17,5.0,16.78,20.68,26.28,36.59,✅ WIN
2026-06-24,4.69,19.34,15.67,12.72,15.36,✅ WIN
2026-06-26,6.78,20.96,2.58,0.29,7.54,✅ WIN
2026-06-29,4.15,21.4,-2.71,0.14,5.23,✅ WIN
2026-07-01,4.2,22.37,-2.55,-1.21,8.09,✅ WIN
