Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-28,24.3,309.93,-0.99,-3.29,-7.83,❌ LOS
2025-01-31,22.33,311.34,-3.27,-2.77,-12.63,❌ LOS
2025-05-12,31.75,293.2,0.92,2.44,1.48,✅ WIN
2025-05-13,27.31,297.01,-0.39,0.75,-0.08,❌ LOS
2025-05-15,30.27,295.78,-0.26,0.11,-1.22,❌ LOS
2025-05-16,32.84,298.08,-0.92,-0.95,0.41,✅ WIN
2025-05-19,23.55,295.9,1.51,1.22,0.32,✅ WIN
2025-05-23,26.07,295.35,-0.03,0.63,2.99,✅ WIN
2025-05-27,25.11,300.36,-0.28,-0.94,0.67,✅ WIN
2025-08-29,78.99,314.7,3.84,2.02,2.33,✅ WIN
2025-09-02,50.89,319.16,1.89,-0.2,-0.47,❌ LOS
2025-09-03,29.96,317.51,1.98,0.56,-0.56,❌ LOS
2025-09-04,26.34,319.93,1.43,0.97,0.31,✅ WIN
2025-09-05,34.54,326.37,-2.24,-1.13,-2.29,❌ LOS
2025-09-08,34.85,326.79,-1.75,-0.73,-1.03,❌ LOS
2025-09-09,24.23,325.19,-2.05,-0.1,-3.38,❌ LOS
2025-09-10,25.12,323.8,-1.4,-0.09,-3.83,❌ LOS
2025-09-11,31.4,324.52,-0.46,-1.34,-4.38,❌ LOS
2025-09-17,30.61,319.28,1.33,-1.11,-4.45,❌ LOS
2025-09-18,34.09,323.04,-0.89,-0.66,-7.19,❌ LOS
