Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-30,1.03,8.41,1.81,3.61,5.94,✅ WIN
2025-01-31,1.12,8.42,1.0,4.61,4.41,✅ WIN
2025-02-03,0.83,8.41,1.91,5.43,3.91,✅ WIN
2025-09-04,1.41,9.42,0.29,-0.98,-0.65,❌ LOS
2025-09-05,1.23,9.57,-1.83,-3.86,-1.79,❌ LOS
2025-09-08,1.01,9.55,-1.45,-6.0,-3.27,❌ LOS
2025-09-09,1.18,9.56,-2.13,-5.22,-2.29,❌ LOS
2026-01-02,1.01,10.58,4.39,9.15,3.23,✅ WIN
2026-01-05,1.32,10.71,2.8,5.33,4.85,✅ WIN
2026-01-06,1.13,10.8,1.7,4.84,4.18,✅ WIN
2026-01-08,0.85,10.83,4.38,5.9,3.27,✅ WIN
2026-01-09,1.93,11.04,4.56,3.42,0.39,✅ WIN
2026-01-12,0.86,11.01,2.46,6.94,-0.41,❌ LOS
2026-01-14,0.86,11.19,1.9,3.46,-0.65,❌ LOS
2026-01-15,0.96,11.3,1.46,-1.41,-1.75,❌ LOS
2026-01-16,1.19,11.54,-1.09,-5.42,-4.32,❌ LOS
2026-01-20,1.11,11.28,4.37,-0.46,-2.02,❌ LOS
2026-01-21,0.95,11.32,2.74,-0.63,-2.27,❌ LOS
2026-01-27,1.33,11.78,-4.63,-6.87,-6.29,❌ LOS
2026-01-28,1.05,11.63,-3.27,-3.95,-4.62,❌ LOS
2026-01-29,0.94,11.58,-3.8,-3.97,-4.39,❌ LOS
