Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-11-07,16.81,83.74,4.1,6.29,1.89,✅ WIN
2025-11-10,13.35,87.12,0.57,1.4,-1.68,❌ LOS
2025-11-11,19.65,90.61,-3.17,0.11,-4.59,❌ LOS
2025-11-12,12.13,90.1,-3.97,-0.72,-5.16,❌ LOS
2025-11-13,9.12,88.67,-1.45,0.96,-3.15,❌ LOS
2025-11-24,38.23,88.34,-1.71,-3.03,1.01,✅ WIN
2026-01-22,11.84,97.03,2.39,-5.71,-2.95,❌ LOS
2026-01-26,14.84,98.66,-2.06,-3.99,1.49,✅ WIN
2026-01-27,33.58,103.26,-11.11,-8.58,-3.12,❌ LOS
2026-01-28,16.58,102.1,-9.97,-7.15,-2.15,❌ LOS
2026-01-29,12.5,99.35,-7.91,5.29,-0.97,❌ LOS
2026-02-12,24.55,104.61,-9.98,-5.95,2.93,✅ WIN
2026-02-13,21.9,111.76,-11.63,-12.63,-5.65,❌ LOS
2026-02-19,15.54,109.59,-8.84,-7.84,0.37,✅ WIN
2026-03-19,9.41,110.0,6.59,7.27,-12.83,❌ LOS
2026-03-20,34.41,110.48,3.64,3.73,-11.64,❌ LOS
2026-03-23,16.01,114.43,-3.68,-0.47,-14.29,❌ LOS
2026-03-24,11.43,114.5,0.31,1.31,-15.19,❌ LOS
2026-03-25,25.9,119.15,-2.85,-8.01,-19.28,❌ LOS
2026-03-26,18.14,117.25,0.64,-22.09,-18.76,❌ LOS
2026-03-27,10.23,114.5,0.09,-17.08,-16.22,❌ LOS
