Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-11-17,35.91,117.06,-1.55,8.87,11.7,✅ WIN
2025-11-18,25.07,120.73,3.19,4.2,11.31,✅ WIN
2025-11-25,27.6,124.57,0.98,6.35,18.92,✅ WIN
2025-11-26,25.58,126.22,-6.12,6.05,18.56,✅ WIN
2025-12-19,35.2,145.52,-0.89,8.41,23.43,✅ WIN
2026-01-06,47.69,157.76,11.84,13.85,6.65,✅ WIN
2026-01-07,42.72,161.17,9.89,16.56,-3.15,❌ LOS
2026-01-08,25.06,157.92,9.77,19.71,3.2,✅ WIN
2026-01-12,26.53,168.91,1.9,14.68,-0.45,❌ LOS
2026-01-13,35.02,176.44,1.8,4.21,-0.82,❌ LOS
2026-01-14,25.17,177.11,6.07,1.77,-10.49,❌ LOS
2026-01-20,36.97,172.11,12.54,-1.1,-0.77,❌ LOS
2026-01-21,54.07,179.62,2.37,-6.33,-6.47,❌ LOS
2026-01-22,62.02,187.85,-4.05,-16.91,-10.57,❌ LOS
2026-01-23,41.85,189.04,-9.96,-13.79,-6.33,❌ LOS
2026-01-26,38.63,189.28,-13.08,-12.64,-1.54,❌ LOS
2026-01-27,27.45,193.7,-12.12,-13.19,0.87,✅ WIN
2026-01-28,26.93,183.87,-8.5,-4.83,0.33,✅ WIN
2026-02-25,37.37,195.39,-14.05,-14.23,-7.16,❌ LOS
