Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-21,29.16,196.64,2.37,0.52,-4.45,❌ LOS
2024-11-22,29.55,196.95,0.73,-1.9,-4.57,❌ LOS
2024-11-25,40.72,195.24,1.12,-3.02,-2.79,❌ LOS
2025-03-14,22.72,202.42,-0.49,-0.5,-7.2,❌ LOS
2025-03-17,31.16,204.96,-1.33,-1.44,-6.95,❌ LOS
2025-11-14,37.52,211.11,0.01,-1.54,-0.63,❌ LOS
2025-11-20,22.67,208.59,0.59,-4.02,-2.73,❌ LOS
2025-11-21,24.63,211.13,-1.55,-5.83,-2.36,❌ LOS
2025-11-24,25.66,209.21,-1.17,-4.88,-0.86,❌ LOS
2026-02-05,31.94,212.98,-4.01,-4.1,-0.83,❌ LOS
2026-05-19,26.98,223.4,-7.0,-6.29,-0.78,❌ LOS
2026-06-18,42.26,221.17,8.34,12.3,14.72,✅ WIN
2026-06-22,23.41,222.56,8.46,12.99,13.11,✅ WIN
2026-06-24,33.47,233.54,4.1,6.47,8.98,✅ WIN
2026-06-26,27.06,239.61,3.66,7.03,9.04,✅ WIN
2026-07-02,26.05,250.33,0.51,-0.17,5.49,✅ WIN
2026-07-07,32.78,251.46,-0.44,0.11,4.41,✅ WIN
