Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-05,0.27,5.2,-17.12,-21.35,-21.92,❌ LOS
2024-12-06,0.09,4.73,-11.63,-11.63,-13.95,❌ LOS
2025-05-22,0.11,3.24,9.88,4.94,-7.72,❌ LOS
2025-05-27,1.2,4.01,-16.96,-16.71,-25.69,❌ LOS
2025-05-28,0.2,3.46,-1.73,-4.91,-12.72,❌ LOS
2025-05-30,0.11,3.56,-4.49,-11.52,-12.92,❌ LOS
2025-07-11,0.11,3.33,6.31,-2.4,-12.01,❌ LOS
2025-07-17,0.1,3.48,-3.45,-16.67,-12.64,❌ LOS
2025-09-19,0.16,3.01,-3.99,1.66,-8.97,❌ LOS
2025-10-02,0.11,3.15,-6.98,-12.7,-19.37,❌ LOS
2026-04-14,0.13,1.54,8.44,6.49,-12.99,❌ LOS
2026-04-15,0.21,1.67,2.4,-6.59,-20.36,❌ LOS
2026-04-16,0.18,1.61,3.73,-5.59,-16.77,❌ LOS
2026-04-17,0.68,1.86,-11.83,-22.04,-31.18,❌ LOS
2026-04-20,0.26,1.83,-9.84,-20.77,-25.68,❌ LOS
2026-04-21,0.16,1.67,-1.8,-4.79,-18.56,❌ LOS
2026-04-22,0.13,1.71,-8.77,-4.09,-11.11,❌ LOS
