Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-10-06,168.67,203.71,6.24,18.09,27.46,✅ WIN
2025-10-07,94.41,211.51,3.11,12.54,18.22,✅ WIN
2025-10-08,196.57,235.56,1.29,-2.26,8.82,✅ WIN
2025-10-09,104.15,232.89,0.72,0.9,2.07,✅ WIN
2025-10-15,109.41,238.6,-3.51,10.78,8.5,✅ WIN
2026-04-16,134.85,278.26,9.73,27.4,61.61,✅ WIN
2026-04-21,86.34,284.49,13.61,24.88,45.54,✅ WIN
2026-04-22,122.8,303.46,11.09,38.86,47.49,✅ WIN
2026-04-23,106.1,305.33,16.1,33.78,47.25,✅ WIN
2026-04-24,264.84,347.81,3.66,30.87,34.42,✅ WIN
