Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-19,22.75,191.3,1.84,0.8,-6.43,❌ LOS
2025-05-12,22.26,177.95,1.39,0.8,0.27,✅ WIN
2025-10-30,48.69,197.4,-0.54,-2.1,-0.22,❌ LOS
2025-10-31,39.36,201.17,-2.88,-4.33,-3.22,❌ LOS
2025-12-11,19.16,203.21,-0.92,2.26,2.9,✅ WIN
2025-12-19,18.77,202.66,2.66,5.35,8.43,✅ WIN
2026-01-21,24.31,219.74,0.94,3.36,5.59,✅ WIN
2026-01-22,28.6,221.24,2.12,3.55,5.22,✅ WIN
2026-01-23,21.03,220.06,1.47,5.06,4.85,✅ WIN
2026-01-29,17.24,225.92,1.4,0.91,5.56,✅ WIN
2026-02-02,29.96,227.02,2.5,2.46,3.31,✅ WIN
2026-02-03,34.9,228.21,1.83,2.35,2.55,✅ WIN
2026-02-04,27.08,227.13,3.27,2.16,-0.43,❌ LOS
2026-04-08,19.42,230.14,-0.17,-0.01,4.72,✅ WIN
2026-04-09,18.58,233.14,-1.39,0.65,0.53,✅ WIN
2026-04-10,18.71,234.56,0.57,-0.83,-1.07,❌ LOS
2026-04-17,26.76,235.91,-1.4,-2.45,-3.54,❌ LOS
2026-04-20,16.18,236.47,-1.63,-2.7,-4.71,❌ LOS
2026-06-18,21.88,237.42,0.04,-0.12,-0.93,❌ LOS
2026-06-22,27.28,241.55,-1.59,-4.08,-1.57,❌ LOS
