Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-05,44.79,293.84,-4.14,-2.43,4.09,✅ WIN
2025-03-07,35.22,312.62,-3.43,-2.72,-9.38,❌ LOS
2025-03-10,38.54,315.02,-3.11,-3.97,-11.51,❌ LOS
2025-11-05,48.47,313.05,5.13,7.05,7.11,✅ WIN
2025-11-11,53.4,331.24,1.64,1.5,-6.15,❌ LOS
2025-11-12,47.49,329.12,1.82,3.2,-4.95,❌ LOS
2025-11-13,52.27,328.84,0.02,3.55,-4.76,❌ LOS
2025-11-14,51.3,329.57,0.95,0.94,-2.71,❌ LOS
2025-11-17,51.98,334.43,-1.47,-0.27,-3.7,❌ LOS
2025-11-18,54.02,336.66,-0.13,1.13,-4.55,❌ LOS
2025-11-19,36.53,335.11,1.35,0.05,-4.58,❌ LOS
2025-11-20,36.95,328.91,3.53,-1.14,-1.89,❌ LOS
2025-11-21,55.32,332.7,-0.01,-4.83,-1.82,❌ LOS
2025-11-24,40.87,329.51,1.21,-6.12,-0.84,❌ LOS
2026-01-26,35.83,344.68,-1.43,7.47,10.25,✅ WIN
2026-02-04,70.35,360.95,0.1,3.25,1.08,✅ WIN
2026-02-05,46.47,362.53,-0.44,2.6,1.17,✅ WIN
2026-02-06,65.74,378.81,-3.27,-0.59,-1.23,❌ LOS
2026-02-09,37.56,370.44,0.03,2.58,0.59,✅ WIN
2026-02-24,37.33,380.0,-1.53,-1.94,-9.0,❌ LOS
