Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-10-23,1.27,37.0,-6.02,-6.86,-3.87,❌ LOS
2024-11-25,2.68,36.05,-1.6,-1.26,-1.69,❌ LOS
2024-11-26,1.63,36.31,-1.85,-1.49,-2.38,❌ LOS
2025-02-28,1.96,35.31,-2.11,-3.52,2.43,✅ WIN
2025-03-31,2.42,36.39,-10.18,-5.1,-3.07,❌ LOS
2025-04-01,1.67,36.23,-12.88,-4.06,-0.69,❌ LOS
2025-04-02,1.19,36.42,-7.24,-3.94,0.13,✅ WIN
2025-04-28,1.54,35.82,4.43,2.93,1.34,✅ WIN
2025-04-29,2.38,35.27,5.68,2.81,1.64,✅ WIN
2025-04-30,1.97,35.98,3.74,0.11,0.29,✅ WIN
2025-05-01,3.22,36.46,1.24,1.06,-0.11,❌ LOS
2025-05-02,5.53,37.83,-1.55,-1.48,-3.66,❌ LOS
2025-05-05,2.61,37.41,-1.44,-0.23,-3.96,❌ LOS
2025-05-06,1.41,37.27,-2.71,-0.34,-3.92,❌ LOS
2025-05-07,2.09,37.33,-3.51,-2.27,-4.98,❌ LOS
2025-05-15,1.08,36.85,-1.72,-1.15,-4.15,❌ LOS
2026-05-04,1.12,31.98,0.22,-0.28,0.31,✅ WIN
2026-05-05,1.15,32.28,-2.2,-1.77,-0.12,❌ LOS
2026-05-06,1.73,32.44,-3.08,-0.74,1.48,✅ WIN
2026-05-07,1.87,32.42,-3.27,-0.96,2.62,✅ WIN
