Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-19,12.64,218.67,-0.23,-1.3,-2.81,❌ LOS
2024-09-20,16.77,221.25,-2.02,-4.85,-3.03,❌ LOS
2025-02-25,23.29,194.89,1.65,2.96,2.82,✅ WIN
2025-02-28,12.98,196.68,3.24,2.58,4.83,✅ WIN
2025-03-03,10.66,200.5,1.65,1.47,3.81,✅ WIN
2025-03-04,12.04,198.12,1.28,3.74,5.95,✅ WIN
2025-03-06,8.69,197.94,0.41,3.55,10.27,✅ WIN
2025-03-07,18.99,203.06,-0.64,1.86,3.71,✅ WIN
2025-03-10,21.82,203.81,-0.18,-0.13,0.15,✅ WIN
2025-03-11,11.72,200.66,2.43,-0.13,-2.44,❌ LOS
2025-03-14,14.16,201.76,2.51,2.2,1.92,✅ WIN
2025-03-18,11.55,205.53,-2.5,2.13,2.3,✅ WIN
2025-04-03,26.07,218.27,-8.71,-1.62,-1.21,❌ LOS
2025-04-04,15.08,210.6,-2.36,-0.18,2.52,✅ WIN
2025-04-29,10.96,213.45,1.12,-7.85,-4.01,❌ LOS
2025-04-30,13.6,217.39,-2.63,-9.28,-5.19,❌ LOS
2025-06-24,9.56,217.64,0.25,-0.93,2.8,✅ WIN
2025-07-01,11.3,218.18,-1.18,-0.49,-7.01,❌ LOS
2025-07-22,9.05,225.84,-7.59,-9.6,-11.06,❌ LOS
2025-07-24,9.61,224.76,-9.88,-9.18,-9.3,❌ LOS
2026-02-27,12.21,189.96,-1.7,-3.88,-11.64,❌ LOS
