Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-22,30.94,129.82,-16.93,-11.04,-20.35,❌ LOS
2025-07-31,23.73,123.22,13.03,10.76,10.56,✅ WIN
2025-08-06,69.44,138.78,-0.55,-5.27,1.72,✅ WIN
2025-08-07,29.97,139.28,-2.01,-5.21,2.56,✅ WIN
2025-08-08,26.67,139.18,-1.35,-4.26,0.6,✅ WIN
2025-09-10,46.73,150.72,-5.23,-5.36,4.41,✅ WIN
2025-09-11,33.49,153.04,-4.17,-6.52,3.39,✅ WIN
2026-04-16,38.94,161.01,7.17,7.27,-8.2,❌ LOS
2026-04-17,50.21,164.23,7.72,5.16,-13.55,❌ LOS
2026-04-20,45.29,166.85,3.37,3.46,-15.07,❌ LOS
2026-04-21,64.12,172.86,-4.38,-1.53,-18.1,❌ LOS
2026-04-22,65.79,177.73,-5.09,-17.26,-20.95,❌ LOS
2026-04-23,45.91,172.55,0.09,-17.85,-13.89,❌ LOS
2026-04-24,52.66,176.91,-2.38,-19.86,-12.93,❌ LOS
2026-04-27,34.88,172.47,0.09,-20.9,-8.38,❌ LOS
2026-05-05,29.07,170.22,-16.26,-16.83,2.44,✅ WIN
2026-06-01,23.45,170.68,-8.37,-0.93,-0.47,❌ LOS
