Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-25,34.57,154.5,0.3,-10.51,-1.57,❌ LOS
2024-11-26,23.01,146.62,10.16,-6.42,5.95,✅ WIN
2024-12-02,20.33,157.31,-10.96,-6.65,-4.98,❌ LOS
2024-12-04,12.63,161.52,-15.05,-10.29,-1.61,❌ LOS
2024-12-30,10.91,154.65,-1.63,-15.95,-20.65,❌ LOS
2025-01-03,12.05,158.92,-14.6,-20.54,-27.76,❌ LOS
2025-01-10,16.66,160.92,-19.0,-25.72,-29.66,❌ LOS
2025-05-28,22.83,88.47,-14.06,-10.69,-9.73,❌ LOS
2025-11-25,27.68,90.24,10.38,18.64,40.45,✅ WIN
2025-11-26,14.54,95.14,0.55,15.76,33.32,✅ WIN
2025-12-01,15.78,101.9,-5.8,16.49,25.17,✅ WIN
2025-12-10,14.94,107.06,9.43,18.38,16.64,✅ WIN
2025-12-11,14.47,110.13,7.76,15.17,-6.67,❌ LOS
2025-12-12,17.14,112.09,8.0,15.76,-8.1,❌ LOS
2025-12-15,34.87,118.7,5.07,7.46,-14.97,❌ LOS
2025-12-16,11.04,116.35,6.41,8.18,-7.5,❌ LOS
2025-12-26,10.42,126.84,-2.03,-18.97,-23.0,❌ LOS
2025-12-29,25.84,129.76,-0.7,-20.61,-25.62,❌ LOS
2025-12-30,11.98,127.55,-0.29,-20.87,-26.4,❌ LOS
