Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-09,2.33,56.64,-0.59,-2.13,-2.47,❌ LOS
2025-04-28,2.23,55.41,1.19,2.62,3.91,✅ WIN
2025-04-29,2.27,55.71,0.54,2.48,2.9,✅ WIN
2025-05-08,3.63,56.11,2.12,1.67,3.44,✅ WIN
2025-05-09,2.87,56.14,2.37,1.29,3.6,✅ WIN
2025-05-12,5.21,56.86,1.27,1.26,2.57,✅ WIN
2025-05-13,3.25,57.09,0.78,0.41,2.28,✅ WIN
2025-05-19,2.05,57.58,-0.02,0.45,0.69,✅ WIN
2025-07-01,4.05,59.46,0.7,0.13,0.9,✅ WIN
2025-10-27,2.14,64.13,-0.75,-0.69,-1.81,❌ LOS
2026-02-25,2.42,66.78,-1.61,-2.91,-4.54,❌ LOS
2026-04-13,3.46,65.94,1.78,1.63,3.63,✅ WIN
2026-04-14,2.76,66.46,0.16,0.46,2.31,✅ WIN
2026-04-15,2.06,66.58,0.54,-0.09,2.52,✅ WIN
2026-04-16,3.78,66.6,0.09,0.86,2.77,✅ WIN
2026-04-17,3.32,67.24,-0.28,0.03,0.56,✅ WIN
2026-04-20,5.24,67.11,-0.15,-0.24,0.84,✅ WIN
2026-04-21,2.65,66.56,0.3,1.28,1.13,✅ WIN
2026-04-23,3.72,66.66,0.77,1.82,2.25,✅ WIN
2026-04-24,2.39,67.05,0.31,1.89,1.82,✅ WIN
