Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-22,1.11,18.7,0.36,1.14,-0.05,❌ LOS
2024-11-25,0.88,18.68,0.82,0.36,1.06,✅ WIN
2025-01-21,1.36,20.28,0.73,1.88,0.43,✅ WIN
2025-01-22,1.27,20.29,-0.86,-1.2,0.09,✅ WIN
2025-01-23,0.91,20.29,0.17,-2.78,-0.43,❌ LOS
2025-01-28,1.34,20.43,1.15,-3.53,-2.12,❌ LOS
2025-01-29,1.08,20.12,-0.35,-1.16,-0.26,❌ LOS
2025-01-30,0.93,20.33,-2.95,-1.45,-0.17,❌ LOS
2025-01-31,1.86,20.54,-3.93,-1.69,-1.86,❌ LOS
2025-02-03,1.98,20.66,-3.91,-1.89,-4.29,❌ LOS
2025-02-04,1.58,20.67,-4.62,-1.43,-4.96,❌ LOS
2025-02-05,1.04,20.05,-0.82,1.3,-3.33,❌ LOS
2025-04-01,1.0,19.79,-15.16,-9.51,-7.31,❌ LOS
2025-05-12,1.08,19.17,1.48,1.76,3.47,✅ WIN
2025-05-13,0.88,19.34,0.96,0.96,2.98,✅ WIN
2025-06-11,1.32,19.91,-1.99,-0.9,4.07,✅ WIN
2025-07-10,0.93,20.67,2.06,1.1,-1.71,❌ LOS
2025-07-15,0.94,20.64,0.92,-0.92,-1.23,❌ LOS
2025-07-16,1.06,20.92,0.04,-1.86,-1.6,❌ LOS
2025-07-17,1.24,21.1,-0.95,-2.67,-2.54,❌ LOS
2025-12-10,0.96,19.5,-1.73,-2.66,0.46,✅ WIN
