Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-17,0.98,6.42,3.16,3.76,1.65,✅ WIN
2024-09-18,1.31,6.87,-4.07,-5.76,-3.09,❌ LOS
2024-09-19,0.85,6.98,-2.49,-7.6,-5.39,❌ LOS
2024-09-20,1.42,6.67,2.75,3.18,-0.58,❌ LOS
2024-11-25,0.83,7.01,-2.21,0.28,-9.13,❌ LOS
2025-01-23,0.76,6.76,3.01,-1.29,8.17,✅ WIN
2025-01-27,1.02,6.97,-2.78,-7.51,-0.56,❌ LOS
2025-01-30,0.78,6.97,-4.17,3.76,-37.27,❌ LOS
2025-01-31,0.77,6.85,-6.51,9.05,-41.16,❌ LOS
2025-02-03,0.71,6.77,-4.86,8.73,-41.63,❌ LOS
2025-02-13,0.85,7.23,1.21,-39.54,-47.34,❌ LOS
2025-02-14,0.94,7.47,-2.08,-46.04,-48.0,❌ LOS
2025-02-24,0.68,7.32,-44.9,-46.76,-44.36,❌ LOS
2025-08-22,0.79,5.13,-3.66,-2.7,-9.25,❌ LOS
2026-02-03,1.69,6.23,2.56,-0.96,2.24,✅ WIN
2026-02-04,2.08,6.63,-5.41,-6.91,-5.86,❌ LOS
2026-02-05,1.1,6.54,-6.54,-7.61,-8.07,❌ LOS
2026-02-06,1.08,6.61,-4.67,-9.19,-11.3,❌ LOS
2026-02-09,0.78,6.41,-4.81,-5.9,-11.35,❌ LOS
2026-02-11,0.88,6.27,-1.59,-1.75,-15.6,❌ LOS
2026-02-17,0.7,6.1,-1.14,3.43,-17.03,❌ LOS
