Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-21,29.57,155.2,-3.69,4.51,-0.54,❌ LOS
2025-01-22,245.26,179.93,-17.97,-3.71,-16.16,❌ LOS
2025-01-23,97.42,166.56,-8.0,0.55,-13.04,❌ LOS
2025-01-24,30.11,162.52,-1.83,-0.01,-13.53,❌ LOS
2025-02-05,42.3,173.26,-10.3,-12.93,-31.94,❌ LOS
2025-02-06,26.78,167.47,-1.58,-13.51,-25.03,❌ LOS
2025-06-24,24.1,156.41,-0.05,-5.36,1.83,✅ WIN
2025-06-27,43.35,165.46,-11.23,-12.64,-0.66,❌ LOS
2025-09-10,45.23,154.14,-0.5,-6.38,8.19,✅ WIN
2025-09-11,23.12,154.7,-5.27,-9.08,10.32,✅ WIN
2025-10-08,29.39,166.77,2.34,-0.64,-3.95,❌ LOS
2025-10-09,39.5,170.66,0.31,-2.38,-7.27,❌ LOS
2025-10-13,50.86,171.94,-0.26,3.89,-9.95,❌ LOS
2025-10-14,39.5,168.16,0.73,2.93,-10.95,❌ LOS
2025-10-15,29.45,170.67,-2.91,-0.16,-12.84,❌ LOS
