Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-03-19,1.84,2.7,-15.93,-20.74,-37.04,❌ LOS
2025-05-09,0.03,2.06,-14.56,-21.36,-30.58,❌ LOS
2025-05-12,0.04,2.18,-22.48,-25.23,-35.32,❌ LOS
2025-05-14,0.03,2.11,-22.75,-24.64,-39.34,❌ LOS
2025-06-24,0.03,1.64,1.22,-5.49,-15.24,❌ LOS
2025-06-25,0.03,1.6,-0.62,-7.5,-15.0,❌ LOS
2025-06-26,0.04,1.66,-6.63,-12.65,-18.07,❌ LOS
2025-07-01,0.06,1.66,-6.63,-17.47,-25.9,❌ LOS
2025-07-09,0.03,1.55,-11.61,-10.32,-24.52,❌ LOS
2025-12-08,0.08,0.92,-21.41,-23.26,-1.09,❌ LOS
2025-12-09,0.17,0.98,-27.9,-29.23,-14.87,❌ LOS
2026-01-07,0.03,0.91,-16.81,-16.26,-31.87,❌ LOS
2026-04-28,1.55,1.11,13.51,1.8,8.11,✅ WIN
2026-04-29,0.03,1.06,18.87,0.0,8.49,✅ WIN
2026-06-18,0.25,1.38,-9.42,-5.07,-9.42,❌ LOS
2026-06-22,0.04,1.32,1.52,-6.06,-21.97,❌ LOS
2026-06-24,0.13,1.39,-9.35,-14.39,-60.43,❌ LOS
2026-06-25,0.05,1.24,1.61,-7.26,-67.66,❌ LOS
2026-06-26,0.07,1.25,4.8,-4.8,-71.12,❌ LOS
2026-06-29,0.06,1.34,-7.46,-9.7,-71.04,❌ LOS
2026-06-30,0.03,1.32,-6.06,-2.27,-71.59,❌ LOS
