Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-13,3.64,6.35,-14.17,-8.03,11.81,✅ WIN
2024-11-14,2.94,5.94,-2.1,4.04,25.93,✅ WIN
2024-12-09,3.02,7.57,2.25,22.32,56.67,✅ WIN
2024-12-18,5.2,8.54,47.31,93.79,16.39,✅ WIN
2024-12-19,3.09,8.23,73.39,101.09,30.13,✅ WIN
2024-12-20,3.48,8.99,43.6,80.65,19.13,✅ WIN
2024-12-24,5.07,10.22,26.61,7.34,-14.68,❌ LOS
2024-12-26,17.97,12.58,31.56,-16.14,-31.24,❌ LOS
2024-12-27,22.53,14.27,15.98,-34.83,-38.19,❌ LOS
2024-12-30,7.78,12.91,25.79,-13.48,-35.17,❌ LOS
2024-12-31,5.39,11.6,2.24,-27.59,-24.48,❌ LOS
2025-01-02,5.25,12.94,-15.22,-33.23,-36.01,❌ LOS
2025-01-03,23.57,16.55,-36.25,-39.94,-45.32,❌ LOS
2025-01-06,14.97,16.55,-43.81,-35.29,-44.05,❌ LOS
2025-01-07,7.82,16.24,-31.22,-34.05,-39.29,❌ LOS
2025-01-08,4.88,11.86,-29.17,-6.91,-23.95,❌ LOS
2026-02-17,5.55,5.73,-7.42,-16.06,-17.63,❌ LOS
