Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-13,249.6,221.73,-1.78,5.08,1.7,✅ WIN
2024-12-16,282.58,246.58,-6.81,-7.02,-7.99,❌ LOS
2024-12-17,137.89,236.95,0.04,-3.18,-0.9,❌ LOS
2024-12-18,76.49,220.56,10.02,4.27,7.75,✅ WIN
2024-12-20,132.39,217.77,6.98,3.83,9.12,✅ WIN
2025-05-13,64.99,230.55,-0.32,3.02,8.82,✅ WIN
2025-09-05,93.6,332.98,7.46,3.0,1.21,✅ WIN
2025-09-08,71.24,343.68,5.33,-1.82,-2.77,❌ LOS
2025-09-10,153.95,367.46,-6.33,-8.03,-6.35,❌ LOS
2025-09-11,73.84,357.58,-3.97,-6.38,-3.9,❌ LOS
2025-09-12,73.2,357.82,-4.15,-6.88,-9.64,❌ LOS
2025-12-08,74.53,399.5,-15.28,-14.71,-14.2,❌ LOS
2025-12-09,67.83,404.67,-16.0,-13.86,-18.01,❌ LOS
2025-12-10,74.99,411.32,-21.05,-15.03,-16.31,❌ LOS
2025-12-11,100.95,404.74,-18.82,-13.18,-13.16,❌ LOS
