Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-13,2.56,129.26,5.42,-4.6,-7.93,❌ LOS
2025-01-21,6.93,136.28,-9.51,-7.36,-16.92,❌ LOS
2025-01-22,12.42,136.86,-11.18,-9.58,-20.21,❌ LOS
2025-01-23,4.49,130.29,-5.33,-5.16,-17.16,❌ LOS
2025-05-06,2.92,118.56,0.3,5.14,-16.9,❌ LOS
2025-05-16,4.1,123.81,-16.32,-19.8,-20.25,❌ LOS
2025-05-19,3.13,124.28,-15.07,-18.86,-20.51,❌ LOS
2025-05-21,2.86,123.43,-17.68,-20.46,-21.73,❌ LOS
2025-05-22,3.64,124.11,-17.72,-20.04,-21.6,❌ LOS
2025-12-08,2.68,89.29,0.58,-5.31,-1.18,❌ LOS
2025-12-10,2.53,90.94,-6.96,-8.46,3.4,✅ WIN
2025-12-11,2.17,92.27,-8.87,-9.53,2.53,✅ WIN
2026-01-23,11.29,99.94,-13.51,-12.93,-26.81,❌ LOS
2026-06-01,3.36,82.79,-5.73,-10.63,-27.27,❌ LOS
