Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-13,2.47,10.0,3.49,8.4,15.39,✅ WIN
2025-01-27,2.69,10.78,-3.15,4.03,15.94,✅ WIN
2025-01-30,3.31,11.09,2.64,6.04,12.6,✅ WIN
2025-03-06,4.24,13.09,-0.43,2.24,-1.44,❌ LOS
2025-03-07,3.72,13.36,1.34,-0.07,-13.64,❌ LOS
2025-08-06,2.41,17.42,5.52,6.48,4.06,✅ WIN
2025-08-07,2.3,17.79,5.13,4.75,0.99,✅ WIN
2025-08-08,3.73,18.25,3.5,2.9,-0.43,❌ LOS
2025-08-11,2.34,18.28,2.42,0.16,0.0,❌ LOS
2025-08-12,2.51,18.06,2.94,0.38,2.72,✅ WIN
2025-08-13,2.99,18.38,0.91,-4.06,2.08,✅ WIN
2025-08-14,2.66,18.71,-0.37,-4.72,0.1,✅ WIN
2025-08-15,2.24,18.89,-0.57,-5.77,-0.05,❌ LOS
2025-08-25,2.58,18.31,-3.06,-0.16,1.77,✅ WIN
2025-11-14,3.03,21.19,-3.73,2.55,8.4,✅ WIN
2025-12-11,2.72,22.76,0.48,1.71,6.41,✅ WIN
2025-12-12,2.44,22.63,1.86,2.21,9.01,✅ WIN
2025-12-16,2.61,22.51,3.02,3.55,7.02,✅ WIN
2026-01-08,2.48,23.58,2.16,5.89,2.16,✅ WIN
2026-01-13,4.07,24.67,0.53,1.91,-2.39,❌ LOS
2026-01-27,2.97,26.11,-1.76,-5.97,-8.96,❌ LOS
