Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-25,6.91,33.98,3.1,7.69,9.25,✅ WIN
2024-11-26,1.57,33.46,8.15,8.83,8.43,✅ WIN
2024-12-02,2.42,35.62,4.48,2.96,3.36,✅ WIN
2024-12-04,2.06,36.18,0.63,1.0,-1.05,❌ LOS
2024-12-06,1.68,34.76,4.43,7.3,0.68,✅ WIN
2024-12-09,3.78,37.22,-1.45,-0.51,-5.66,❌ LOS
2024-12-10,2.76,36.59,0.36,1.45,-5.5,❌ LOS
2024-12-11,2.29,36.41,0.37,-0.37,-4.07,❌ LOS
2024-12-13,1.74,36.3,2.75,1.73,-3.38,❌ LOS
2025-02-18,2.43,37.99,2.08,-13.95,-24.68,❌ LOS
2025-02-19,1.94,38.08,2.95,-13.24,-24.21,❌ LOS
2025-02-26,2.68,39.21,-15.73,-28.7,-22.61,❌ LOS
2025-05-12,1.66,31.91,0.45,-8.64,-19.68,❌ LOS
2025-07-01,1.88,30.92,2.49,-4.26,-6.53,❌ LOS
2025-07-02,1.82,31.52,2.65,-3.26,-11.65,❌ LOS
2025-07-07,2.21,31.54,-2.74,-1.34,-12.2,❌ LOS
2025-07-08,3.23,32.23,-6.92,-1.19,-13.67,❌ LOS
2025-07-09,1.75,31.69,-6.59,0.18,-11.65,❌ LOS
2026-02-17,1.98,24.19,-4.93,-8.32,-17.15,❌ LOS
2026-02-20,1.56,24.11,-6.64,-14.68,-20.39,❌ LOS
