Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-10-27,7.42,79.51,-1.64,-5.71,-8.76,❌ LOS
2026-05-28,35.66,73.76,-5.02,3.16,5.36,✅ WIN
2026-05-29,30.75,76.93,-8.22,0.74,0.93,✅ WIN
2026-06-01,15.84,74.0,-1.08,3.24,2.55,✅ WIN
2026-06-02,8.61,71.82,3.22,3.85,7.53,✅ WIN
2026-06-03,10.64,70.79,5.45,1.91,10.17,✅ WIN
2026-06-05,6.56,70.6,9.77,7.66,11.5,✅ WIN
2026-06-08,8.0,73.2,4.37,2.67,6.66,✅ WIN
2026-06-10,9.23,74.65,-3.36,3.01,10.92,✅ WIN
2026-06-11,7.23,76.09,-1.78,2.13,7.31,✅ WIN
2026-06-12,7.32,77.5,-1.92,0.18,8.36,✅ WIN
2026-06-15,7.56,76.39,-1.63,-0.67,11.75,✅ WIN
