Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-20,1.25,3.69,3.79,10.03,13.01,✅ WIN
2025-01-06,1.27,4.09,-2.2,0.0,24.21,✅ WIN
2025-02-05,1.34,5.08,14.57,9.84,-13.19,❌ LOS
2025-02-06,1.26,5.16,14.53,1.55,-12.4,❌ LOS
2025-02-07,1.57,5.25,8.38,2.1,-20.19,❌ LOS
2025-02-10,2.05,5.54,9.57,-11.37,-21.12,❌ LOS
2025-02-11,1.43,5.27,11.2,-4.17,-17.08,❌ LOS
2025-02-12,2.5,5.82,-4.12,-18.38,-26.8,❌ LOS
2025-02-13,2.21,5.91,-11.34,-20.3,-23.18,❌ LOS
2025-02-14,1.4,5.69,-5.8,-22.85,-20.56,❌ LOS
2025-02-18,2.1,6.07,-19.11,-27.18,-27.35,❌ LOS
2025-02-19,1.45,5.86,-13.82,-20.65,-23.72,❌ LOS
2025-02-20,1.08,5.58,-14.87,-20.97,-20.79,❌ LOS
2025-02-24,1.75,5.36,-18.1,-21.83,-17.16,❌ LOS
2025-05-09,1.11,3.81,3.41,-1.31,10.5,✅ WIN
2025-06-25,2.41,4.87,-13.14,-15.61,-18.69,❌ LOS
2025-09-25,1.85,4.65,2.15,4.3,-0.86,❌ LOS
2025-09-26,2.18,4.96,-9.27,-9.68,-3.63,❌ LOS
2025-09-29,1.57,5.0,-4.0,-9.0,-4.0,❌ LOS
