Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-10-24,8.79,71.1,-8.07,-8.57,-10.69,❌ LOS
2025-10-27,7.97,70.13,-6.85,-9.81,-7.75,❌ LOS
2025-12-10,14.34,74.12,0.82,2.0,17.56,✅ WIN
2025-12-11,12.74,74.54,1.0,1.58,14.7,✅ WIN
2026-01-06,27.65,83.24,4.58,4.46,5.46,✅ WIN
2026-01-07,15.78,84.24,4.03,3.9,2.4,✅ WIN
2026-01-08,17.93,86.31,2.29,-0.09,1.31,✅ WIN
2026-01-09,15.24,87.14,1.22,-2.17,-0.51,❌ LOS
2026-01-12,14.55,85.5,-1.05,-0.17,0.9,✅ WIN
2026-01-13,13.66,87.05,-0.11,-3.78,-0.87,❌ LOS
2026-01-14,13.28,87.64,-0.12,-8.46,-2.16,❌ LOS
2026-01-15,12.04,88.29,-2.33,-9.59,-1.9,❌ LOS
2026-01-16,9.55,88.2,-3.35,-7.32,-1.13,❌ LOS
2026-01-20,8.11,84.6,0.88,0.92,4.94,✅ WIN
2026-01-21,11.4,86.95,-3.67,0.96,-0.65,❌ LOS
2026-01-22,24.7,87.53,-8.34,-1.44,1.32,✅ WIN
2026-01-23,8.72,86.23,-7.43,1.41,-3.37,❌ LOS
2026-01-26,8.72,85.25,-4.11,1.69,-1.73,❌ LOS
2026-02-20,7.81,88.68,-10.22,-20.37,-20.53,❌ LOS
