Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-18,1.02,45.62,-3.54,1.34,3.63,✅ WIN
2024-09-19,0.72,45.69,-0.4,-0.34,3.73,✅ WIN
2024-09-20,0.95,44.36,4.25,2.14,5.61,✅ WIN
2024-09-30,0.88,47.07,-4.29,-1.04,-1.73,❌ LOS
2024-10-01,0.72,46.63,-4.39,-0.02,-4.12,❌ LOS
2024-12-05,2.07,43.41,-0.43,-8.4,-18.41,❌ LOS
2024-12-06,0.87,42.7,1.28,-7.05,-18.42,❌ LOS
2024-12-09,1.28,43.48,-3.36,-11.19,-20.41,❌ LOS
2024-12-10,1.43,43.44,-5.4,-11.73,-25.06,❌ LOS
2024-12-11,0.96,43.25,-8.23,-12.21,-23.37,❌ LOS
2024-12-12,0.77,43.23,-8.01,-13.66,-23.4,❌ LOS
2025-03-05,1.69,34.6,-4.37,-2.52,-3.5,❌ LOS
2025-03-06,0.99,34.4,-2.26,-1.78,-7.43,❌ LOS
2025-03-07,1.94,35.73,-5.79,-6.17,-13.3,❌ LOS
2025-03-10,2.58,36.73,-5.77,-10.85,-13.7,❌ LOS
2025-03-11,0.91,34.86,-2.05,-6.47,-12.68,❌ LOS
2025-12-01,0.83,29.22,2.24,2.99,-10.71,❌ LOS
2025-12-03,1.0,29.58,1.76,-3.4,-12.45,❌ LOS
2025-12-04,0.81,29.2,4.79,-2.07,-12.42,❌ LOS
2025-12-05,0.81,30.12,1.18,-6.25,-14.14,❌ LOS
2026-02-12,0.91,30.39,-2.22,-5.9,-22.7,❌ LOS
