Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-12-11,10.13,59.74,-2.71,1.59,3.09,✅ WIN
2025-12-22,7.85,59.6,0.25,5.08,6.91,✅ WIN
2026-01-06,7.57,63.55,-1.25,1.25,11.45,✅ WIN
2026-01-27,7.48,69.13,3.19,2.64,15.87,✅ WIN
2026-01-28,7.79,69.59,1.78,5.88,14.25,✅ WIN
2026-01-29,16.89,70.78,-4.25,0.82,13.02,✅ WIN
2026-02-03,8.76,71.34,-0.54,2.46,7.41,✅ WIN
2026-02-09,7.88,70.29,3.66,11.13,5.13,✅ WIN
2026-02-11,9.5,73.68,-0.08,7.91,-3.95,❌ LOS
2026-02-25,9.67,80.1,-4.35,-8.43,-12.6,❌ LOS
2026-02-26,10.08,79.5,-6.75,-10.99,-13.84,❌ LOS
2026-02-27,9.45,79.99,-10.18,-14.07,-13.12,❌ LOS
2026-03-02,9.89,81.41,-10.46,-13.63,-15.22,❌ LOS
2026-04-10,9.92,76.81,4.74,3.92,10.3,✅ WIN
2026-04-14,7.98,79.17,-1.87,-1.33,11.56,✅ WIN
2026-04-16,9.16,79.47,0.47,-0.21,11.9,✅ WIN
2026-04-17,11.06,80.45,-0.78,-1.73,4.91,✅ WIN
2026-05-11,12.75,87.65,-4.14,-1.32,-3.33,❌ LOS
2026-05-12,11.52,88.32,-7.3,-0.55,-6.08,❌ LOS
2026-05-13,17.35,90.81,-7.99,-3.31,-3.09,❌ LOS
2026-05-14,8.71,88.93,-4.49,-0.02,2.13,✅ WIN
