Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-22,1.25,16.26,-11.93,-34.01,-23.37,❌ LOS
2024-08-23,1.51,17.2,-17.91,-39.01,-32.5,❌ LOS
2024-08-26,0.81,16.26,-27.8,-32.47,-29.83,❌ LOS
2025-05-14,0.81,6.7,-7.76,5.67,76.42,✅ WIN
2025-06-06,0.94,8.55,23.51,15.79,22.92,✅ WIN
2025-06-09,5.72,10.09,9.32,-5.15,9.02,✅ WIN
2025-06-10,18.48,12.29,-11.55,-24.98,-4.56,❌ LOS
2025-06-11,4.53,10.54,6.36,-4.55,15.28,✅ WIN
2025-06-12,4.76,11.82,-11.17,-12.1,-0.42,❌ LOS
2025-06-13,2.22,10.56,-6.25,0.66,9.85,✅ WIN
2025-06-16,1.54,11.03,-13.24,-0.73,4.9,✅ WIN
2025-06-17,1.49,10.87,-15.18,-3.59,10.03,✅ WIN
2025-06-18,1.65,11.21,-10.26,-5.31,-5.0,❌ LOS
2025-06-20,1.06,10.5,-1.05,-2.0,-0.86,❌ LOS
2025-06-23,1.3,9.9,7.37,6.16,18.89,✅ WIN
2025-07-11,0.96,12.15,-12.35,-9.3,-42.88,❌ LOS
2025-07-16,1.08,11.57,2.85,-10.63,-38.85,❌ LOS
2025-07-17,0.84,11.96,-4.68,-15.72,-41.56,❌ LOS
2025-10-30,2.85,8.39,-9.3,-33.97,-39.69,❌ LOS
2025-10-31,1.95,9.0,-33.33,-43.89,-43.44,❌ LOS
2025-11-03,0.77,8.6,-30.35,-43.14,-41.63,❌ LOS
