Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-20,6.96,43.08,-1.58,-4.06,-10.18,❌ LOS
2024-11-25,7.28,42.34,0.28,-5.37,-6.34,❌ LOS
2025-01-17,7.16,45.24,-6.42,1.85,1.44,✅ WIN
2025-01-21,9.0,45.73,-7.99,1.96,0.17,✅ WIN
2025-01-31,7.15,44.89,0.04,0.97,-5.13,❌ LOS
2025-07-23,9.73,43.92,1.9,-2.28,-3.59,❌ LOS
2025-07-24,7.01,44.94,-1.47,-5.58,-4.44,❌ LOS
2025-07-29,9.66,44.97,-3.71,-6.59,-2.33,❌ LOS
2026-01-15,9.75,51.63,3.69,7.77,17.69,✅ WIN
2026-01-20,7.87,50.9,10.22,13.15,20.51,✅ WIN
2026-01-21,10.64,53.21,5.67,10.41,17.18,✅ WIN
2026-01-22,11.3,54.07,4.17,5.33,14.66,✅ WIN
2026-01-23,11.79,53.54,3.93,9.27,18.53,✅ WIN
2026-01-26,14.23,55.89,0.28,5.79,15.41,✅ WIN
2026-01-27,9.42,56.1,2.65,4.69,15.14,✅ WIN
2026-01-28,8.55,56.23,4.49,8.16,15.04,✅ WIN
2026-01-29,8.25,56.33,1.11,8.21,15.47,✅ WIN
2026-02-03,8.04,57.59,1.98,6.5,5.36,✅ WIN
2026-02-04,9.45,58.75,3.52,6.13,2.11,✅ WIN
2026-02-11,8.01,60.82,2.52,6.36,-8.39,❌ LOS
2026-04-24,14.72,68.71,0.26,-7.02,-3.86,❌ LOS
2026-04-27,10.96,68.15,0.92,-5.21,-2.09,❌ LOS
