Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-26,75.67,916.37,0.68,1.12,4.12,✅ WIN
2024-10-11,88.77,960.24,1.69,-1.63,4.95,✅ WIN
2024-11-14,131.58,1015.34,-1.82,-2.32,1.4,✅ WIN
2025-01-31,137.65,1048.06,-7.76,-9.44,-10.14,❌ LOS
2025-02-03,87.75,987.89,-2.78,-3.54,-6.11,❌ LOS
2025-05-15,93.81,963.23,-1.34,-0.32,-0.62,❌ LOS
2025-07-07,93.52,1059.83,3.3,1.58,3.73,✅ WIN
2025-07-08,75.5,1058.89,-2.68,2.36,3.22,✅ WIN
2025-07-10,97.64,1087.49,0.12,1.3,0.8,✅ WIN
2025-07-11,116.62,1085.11,0.18,1.96,2.12,✅ WIN
2025-07-14,139.26,1094.78,-1.66,0.57,1.48,✅ WIN
2025-07-15,100.72,1030.46,5.18,7.2,10.84,✅ WIN
2025-07-16,118.53,1066.0,3.52,2.99,7.19,✅ WIN
2025-07-17,117.89,1088.8,1.18,0.06,4.96,✅ WIN
2025-10-06,80.73,1167.06,-2.05,-1.63,-9.37,❌ LOS
2025-10-14,117.53,1181.9,-5.38,-5.8,-9.09,❌ LOS
2025-10-15,82.28,1190.14,-6.06,-8.7,-9.04,❌ LOS
2025-12-11,96.61,1095.74,-3.34,-1.25,-1.14,❌ LOS
2026-01-15,132.17,1150.25,-2.31,-3.26,-7.36,❌ LOS
2026-01-16,115.22,1156.73,-3.58,-3.74,-7.78,❌ LOS
