Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-05,16.44,95.52,-0.28,-2.97,-3.36,❌ LOS
2024-12-06,16.91,99.17,-4.23,-6.63,-6.31,❌ LOS
2025-01-28,12.38,96.29,-1.75,0.33,4.68,✅ WIN
2025-02-25,12.81,101.0,-4.43,-8.54,-5.75,❌ LOS
2025-05-16,14.32,100.96,1.06,4.87,3.97,✅ WIN
2025-05-28,13.96,104.33,1.79,1.36,2.64,✅ WIN
2025-07-21,20.69,112.87,-1.43,-1.62,-0.62,❌ LOS
2025-08-26,20.93,118.43,3.48,5.8,7.47,✅ WIN
2025-08-27,13.46,118.15,5.1,6.43,8.63,✅ WIN
2025-09-04,13.44,124.18,1.26,3.35,4.07,✅ WIN
2025-09-05,17.67,125.08,0.17,3.35,2.32,✅ WIN
2025-12-10,12.95,128.54,-0.9,0.71,2.32,✅ WIN
2025-12-12,17.78,130.6,-1.47,-0.32,0.43,✅ WIN
2026-01-16,16.2,135.29,0.32,1.51,3.71,✅ WIN
2026-01-29,26.59,140.26,-1.11,-0.91,1.79,✅ WIN
2026-04-13,13.85,145.03,4.91,4.21,5.55,✅ WIN
2026-04-17,17.09,150.73,0.13,1.17,1.16,✅ WIN
2026-04-20,14.99,152.15,-0.66,-1.44,1.08,✅ WIN
2026-04-23,15.36,150.41,1.13,1.38,6.2,✅ WIN
2026-04-27,16.76,151.14,-0.78,1.28,7.08,✅ WIN
2026-04-28,46.6,150.24,0.52,1.52,8.58,✅ WIN
