Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-02,1.03,46.89,0.04,-0.51,-0.96,❌ LOS
2024-12-03,1.37,46.86,0.06,-0.46,-0.8,❌ LOS
2024-12-04,1.45,46.95,-0.1,-1.07,-1.26,❌ LOS
2024-12-05,0.66,46.89,-0.47,-1.03,-1.14,❌ LOS
2024-12-06,0.62,46.95,-0.63,-0.91,-1.52,❌ LOS
2024-12-09,0.63,46.91,-0.55,-1.05,-1.63,❌ LOS
2024-12-10,0.73,46.88,-0.51,-0.86,-1.99,❌ LOS
2025-02-03,0.97,46.7,0.3,-0.35,-0.4,❌ LOS
2025-02-04,1.02,46.77,-0.18,-0.61,-1.19,❌ LOS
2025-02-05,1.22,46.85,-0.63,-0.83,-1.61,❌ LOS
2025-04-03,0.62,46.68,-0.14,0.53,0.68,✅ WIN
2025-04-04,0.69,46.76,-0.37,0.22,0.52,✅ WIN
2025-04-08,0.61,46.65,0.16,0.57,1.11,✅ WIN
2025-04-17,0.8,46.93,0.32,0.15,-0.18,❌ LOS
2025-05-01,1.18,47.11,-0.36,-0.59,0.22,✅ WIN
2025-06-04,0.9,47.2,0.08,0.18,0.29,✅ WIN
2025-10-16,0.66,48.14,-0.06,-0.18,-0.36,❌ LOS
2026-01-13,1.01,47.99,-0.23,-0.06,0.54,✅ WIN
2026-02-24,0.8,48.65,-0.33,-1.06,-2.37,❌ LOS
2026-02-25,0.66,48.59,-0.33,-1.39,-1.74,❌ LOS
2026-03-02,0.84,48.59,-0.86,-1.45,-2.33,❌ LOS
