Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-08-26,17.16,60.84,2.34,4.02,4.35,✅ WIN
2025-08-27,11.23,61.16,2.95,4.13,4.28,✅ WIN
2025-08-28,7.39,61.81,1.68,1.59,3.21,✅ WIN
2025-08-29,7.61,61.88,2.39,2.47,3.7,✅ WIN
2025-09-03,7.06,62.27,1.64,2.85,2.77,✅ WIN
2025-09-04,9.09,62.96,1.15,1.72,2.38,✅ WIN
2025-09-05,6.98,62.86,-0.09,2.35,2.85,✅ WIN
2025-09-08,6.9,63.36,0.08,0.77,2.22,✅ WIN
2025-09-09,7.04,63.2,1.58,0.91,0.61,✅ WIN
2025-09-11,5.97,63.69,0.56,0.14,-1.14,❌ LOS
2025-12-02,7.36,69.9,2.24,3.23,4.45,✅ WIN
2025-12-08,6.57,71.04,1.83,1.83,0.46,✅ WIN
2026-01-05,6.92,74.03,-3.16,-1.93,0.86,✅ WIN
2026-04-17,11.23,75.85,-1.11,1.88,0.68,✅ WIN
2026-04-20,8.11,76.07,-0.51,-0.27,0.63,✅ WIN
2026-06-17,5.87,85.57,0.1,-1.12,4.51,✅ WIN
2026-06-18,8.53,86.23,-1.0,0.07,0.97,✅ WIN
2026-06-22,12.74,86.1,-0.35,0.12,1.48,✅ WIN
2026-06-24,9.32,84.51,2.4,1.83,2.48,✅ WIN
2026-06-25,6.85,85.66,-1.23,2.25,1.56,✅ WIN
2026-07-06,9.84,86.29,1.99,0.9,2.33,✅ WIN
