Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-26,3.17,32.05,-2.2,-0.87,-2.51,❌ LOS
2024-11-12,4.13,33.06,-1.38,-0.03,1.35,✅ WIN
2025-01-22,4.54,34.15,-3.05,-2.24,-0.17,❌ LOS
2025-01-23,4.27,34.3,-3.13,-2.84,-2.61,❌ LOS
2025-05-12,3.08,30.4,1.24,2.94,3.23,✅ WIN
2025-05-13,3.29,30.82,0.52,0.16,1.61,✅ WIN
2025-07-23,3.52,34.38,-2.4,-2.69,-3.91,❌ LOS
2025-09-22,4.8,35.81,-2.45,4.0,3.06,✅ WIN
2025-09-23,4.03,35.51,-0.64,3.22,3.42,✅ WIN
2025-10-03,3.59,36.59,-2.99,-1.9,2.94,✅ WIN
2025-10-06,3.19,37.24,-1.74,-0.91,2.27,✅ WIN
2026-01-07,4.62,38.16,-0.42,-0.73,-6.26,❌ LOS
2026-01-08,3.74,37.73,1.62,0.11,-0.66,❌ LOS
2026-01-09,6.15,38.23,0.31,-0.71,-0.24,❌ LOS
2026-01-12,3.29,38.44,-3.3,-0.47,-0.21,❌ LOS
2026-02-26,4.3,39.5,-7.39,-9.9,-15.72,❌ LOS
