Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-03-28,4.51,37.51,-17.41,-22.61,-16.26,❌ LOS
2025-09-05,10.25,31.42,-4.07,1.97,-9.55,❌ LOS
2025-09-08,4.16,32.3,-5.91,1.08,-10.37,❌ LOS
2025-12-09,3.34,30.65,10.73,17.23,-1.5,❌ LOS
2025-12-10,23.01,36.19,-4.06,-0.99,-16.91,❌ LOS
2025-12-11,5.43,34.93,2.03,1.35,-13.51,❌ LOS
2025-12-12,3.91,33.14,7.03,6.37,-12.07,❌ LOS
2025-12-17,4.18,34.72,3.2,-6.25,-33.67,❌ LOS
2025-12-19,3.76,35.47,-0.62,-11.5,-31.94,❌ LOS
2026-06-01,6.01,28.27,-18.39,-23.13,-23.28,❌ LOS
2026-07-13,4.08,26.6,-1.54,-11.62,8.08,✅ WIN
2026-07-20,3.31,26.19,-10.23,-1.91,6.72,✅ WIN
