Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-05,5.65,38.09,3.99,-6.2,-2.29,❌ LOS
2025-02-06,5.56,38.57,-4.83,-9.06,-1.73,❌ LOS
2025-02-11,7.09,39.4,-9.67,-8.61,-2.73,❌ LOS
2025-02-12,5.82,39.61,-9.8,-9.43,-3.18,❌ LOS
2025-06-05,9.94,44.78,2.45,3.29,4.19,✅ WIN
2025-06-11,6.01,46.04,1.15,-1.41,6.56,✅ WIN
2025-08-11,6.46,55.93,-1.05,-0.91,-3.55,❌ LOS
2025-12-04,5.73,56.46,0.57,-1.72,-3.1,❌ LOS
2026-01-27,11.59,59.48,2.54,-0.25,4.46,✅ WIN
2026-01-28,8.49,59.3,2.44,0.28,4.17,✅ WIN
2026-01-29,10.85,59.36,2.89,0.65,4.04,✅ WIN
2026-01-30,8.84,59.81,3.49,-1.94,2.37,✅ WIN
2026-02-02,6.6,60.12,0.26,-3.41,-0.95,❌ LOS
2026-02-03,5.96,60.98,-2.72,-4.85,-1.39,❌ LOS
