Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-09-09,7.18,28.79,-1.1,18.45,13.92,✅ WIN
2025-09-19,20.92,32.58,4.52,2.91,1.03,✅ WIN
2025-09-22,18.71,34.92,-6.28,-3.76,-1.78,❌ LOS
2025-09-23,10.18,34.11,-5.12,-3.82,-8.8,❌ LOS
2025-09-24,6.69,33.15,0.42,0.98,-6.08,❌ LOS
2025-09-29,7.86,32.72,2.69,0.84,-3.92,❌ LOS
2025-11-14,8.64,36.56,-1.3,14.8,17.54,✅ WIN
2025-11-17,7.06,36.5,6.98,11.49,16.65,✅ WIN
2025-11-18,8.66,37.27,3.66,7.77,15.94,✅ WIN
2025-11-24,10.99,39.04,4.21,3.91,15.9,✅ WIN
2025-11-26,11.29,40.46,0.26,5.75,13.25,✅ WIN
2025-12-01,10.7,41.98,-5.46,2.39,4.51,✅ WIN
2025-12-11,6.89,42.79,1.67,7.09,13.63,✅ WIN
2026-01-06,6.94,47.34,4.13,2.79,-0.8,❌ LOS
2026-01-20,8.25,49.59,4.32,-4.96,-3.58,❌ LOS
2026-01-21,6.89,48.66,7.97,-3.48,-1.06,❌ LOS
2026-01-22,7.29,48.83,5.71,-10.7,-2.6,❌ LOS
2026-01-23,10.65,50.65,-10.36,-11.59,-3.64,❌ LOS
2026-01-26,7.52,50.86,-9.48,-9.09,-3.08,❌ LOS
2026-01-28,8.63,52.54,-10.61,-10.08,-4.96,❌ LOS
2026-01-29,6.87,51.62,-15.52,-12.81,-1.7,❌ LOS
