Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-10-29,178.38,583.01,-2.79,-2.13,-2.01,❌ LOS
2026-01-29,103.59,663.98,1.96,13.99,11.66,✅ WIN
2026-02-02,106.54,689.6,7.41,10.69,4.53,✅ WIN
2026-02-04,127.99,690.51,12.02,9.93,2.06,✅ WIN
2026-02-09,96.75,740.71,3.05,3.52,-3.43,❌ LOS
2026-02-10,126.26,740.96,1.29,3.27,-4.68,❌ LOS
2026-02-11,159.28,773.53,-1.87,-2.85,-9.59,❌ LOS
2026-02-12,185.98,756.85,0.19,-2.04,-8.48,❌ LOS
2026-02-13,130.81,772.73,-2.29,-2.83,-9.61,❌ LOS
2026-02-17,123.05,763.31,0.45,-5.57,-8.21,❌ LOS
2026-04-08,96.05,770.11,-0.18,5.03,20.36,✅ WIN
2026-04-09,112.87,785.57,-1.83,6.32,14.02,✅ WIN
