Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-28,22.12,281.91,0.39,3.3,4.17,✅ WIN
2025-03-03,23.47,286.07,1.13,2.99,4.58,✅ WIN
2025-03-05,24.28,283.42,-1.06,3.55,5.39,✅ WIN
2025-03-10,54.37,289.3,1.84,-0.2,-6.07,❌ LOS
2025-03-11,37.26,287.07,2.03,0.56,-5.1,❌ LOS
2025-03-13,27.96,284.94,2.25,3.73,-1.84,❌ LOS
2025-03-14,24.43,291.2,-0.86,0.84,-3.6,❌ LOS
2025-03-17,22.49,294.61,-2.0,1.54,-3.05,❌ LOS
2025-03-18,22.4,292.89,-1.44,1.94,-3.67,❌ LOS
2025-12-15,22.79,310.72,-0.53,0.49,-3.71,❌ LOS
2025-12-17,22.04,311.07,0.12,-0.93,-3.9,❌ LOS
2025-12-19,31.33,308.72,1.24,-0.42,-3.42,❌ LOS
2026-02-04,51.38,327.46,-0.12,-0.09,0.91,✅ WIN
2026-02-05,35.46,329.28,0.37,0.1,-0.99,❌ LOS
2026-02-06,30.31,328.97,-1.82,0.73,-1.99,❌ LOS
2026-02-09,27.6,324.2,1.75,3.27,-0.29,❌ LOS
2026-02-10,24.86,324.28,0.93,2.54,-1.07,❌ LOS
2026-02-12,37.04,330.5,-0.27,2.51,-0.77,❌ LOS
2026-02-17,30.82,329.88,1.49,1.93,-0.01,❌ LOS
2026-02-23,22.55,331.37,2.81,-2.7,-1.82,❌ LOS
