Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-10-15,4.31,21.32,-0.46,2.55,14.11,✅ WIN
2024-11-06,5.21,23.97,1.32,3.51,9.16,✅ WIN
2025-01-28,6.75,27.47,-2.45,-7.78,-13.14,❌ LOS
2025-01-29,7.33,27.61,-2.58,-7.24,-15.8,❌ LOS
2025-01-30,3.95,28.19,-3.69,-9.23,-16.01,❌ LOS
2025-05-12,4.4,21.89,5.69,6.64,10.75,✅ WIN
2025-06-27,4.48,26.97,7.52,7.56,9.06,✅ WIN
2025-06-30,4.22,27.82,2.56,3.02,5.62,✅ WIN
2025-07-01,4.93,28.33,0.66,1.4,5.24,✅ WIN
2025-07-02,6.46,29.33,-1.85,-0.67,0.4,✅ WIN
2025-07-03,4.2,29.64,-4.34,-1.37,-2.97,❌ LOS
2025-07-07,9.44,29.0,0.03,1.64,1.4,✅ WIN
2025-08-27,4.13,32.0,-1.79,0.4,-5.75,❌ LOS
2025-09-11,4.37,32.12,-3.14,-6.13,-12.38,❌ LOS
2025-12-19,16.39,30.79,-1.29,3.79,-9.22,❌ LOS
2025-12-22,7.44,31.86,-4.29,-0.28,-11.52,❌ LOS
2025-12-23,5.38,31.32,-3.54,0.09,-9.82,❌ LOS
2026-02-06,6.57,33.63,-6.1,-10.09,-22.0,❌ LOS
2026-02-10,4.89,32.99,-1.98,-4.51,-21.77,❌ LOS
2026-04-08,4.62,27.86,2.82,-3.89,-1.82,❌ LOS
2026-04-17,4.79,29.04,-7.02,-8.76,-15.67,❌ LOS
