Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-05,18.72,199.9,-8.34,-6.47,-18.58,❌ LOS
2025-05-07,15.23,170.79,7.89,3.59,0.52,✅ WIN
2025-05-08,16.66,175.24,4.63,1.83,-0.69,❌ LOS
2025-05-09,8.42,174.12,5.64,2.15,-0.5,❌ LOS
2025-05-12,18.95,183.73,-0.41,-1.31,-5.02,❌ LOS
2025-05-13,18.81,185.54,-1.35,-3.52,-7.51,❌ LOS
2025-05-14,19.72,184.26,-3.98,-3.37,-7.4,❌ LOS
2025-05-15,13.97,183.35,-2.68,-3.96,-9.25,❌ LOS
2025-05-16,8.49,183.94,-3.3,-7.23,-8.51,❌ LOS
2026-05-29,12.09,124.85,6.05,5.37,11.45,✅ WIN
2026-06-01,22.1,140.31,-4.38,-6.87,-0.24,❌ LOS
2026-06-02,19.7,139.06,-4.57,-6.89,-0.94,❌ LOS
2026-06-03,16.25,136.65,-5.83,-7.72,-2.86,❌ LOS
2026-06-04,15.74,138.79,-7.4,-7.95,-3.77,❌ LOS
2026-06-05,8.4,132.41,-0.64,-7.12,4.65,✅ WIN
2026-06-08,10.48,134.17,-2.6,-3.52,2.16,✅ WIN
2026-06-12,10.4,131.56,-6.52,5.77,5.44,✅ WIN
2026-06-15,11.71,130.68,-0.94,7.11,-0.34,❌ LOS
2026-07-09,9.05,139.54,-4.19,-7.15,1.26,✅ WIN
2026-07-13,12.04,143.67,-9.94,-4.38,-5.49,❌ LOS
