Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-19,10.51,158.29,-0.47,-0.36,-3.82,❌ LOS
2024-11-20,7.01,158.2,-0.54,1.01,-2.33,❌ LOS
2024-11-21,4.81,159.24,-1.17,-1.29,-2.78,❌ LOS
2024-11-22,4.3,159.38,-1.63,-1.12,-3.67,❌ LOS
2024-11-25,3.9,156.57,0.49,0.81,-1.74,❌ LOS
2025-02-03,6.18,151.58,-7.91,-7.17,-5.64,❌ LOS
2025-02-25,4.9,148.96,-3.98,-5.47,-9.72,❌ LOS
2025-02-26,3.67,145.43,-2.31,-3.78,-6.73,❌ LOS
2025-02-27,4.53,146.45,-3.89,-4.81,-5.67,❌ LOS
2025-02-28,4.64,148.36,-3.43,-5.9,-6.46,❌ LOS
2025-03-03,5.41,147.89,-5.02,-4.79,-5.54,❌ LOS
2026-01-23,4.54,110.84,0.49,6.35,12.94,✅ WIN
2026-02-04,5.38,116.3,6.95,3.78,-3.46,❌ LOS
2026-02-10,3.99,119.94,1.44,3.94,-7.66,❌ LOS
2026-02-11,6.55,124.38,-2.96,0.75,-13.67,❌ LOS
2026-02-12,5.44,123.09,-0.83,2.02,-11.2,❌ LOS
2026-02-13,3.96,124.37,0.65,0.69,-11.0,❌ LOS
2026-02-17,5.1,121.43,3.0,-1.47,-9.4,❌ LOS
2026-02-18,3.83,121.67,2.47,-4.68,-12.39,❌ LOS
2026-02-20,4.35,122.06,2.88,-7.23,-14.12,❌ LOS
2026-02-23,5.0,125.18,0.04,-10.53,-16.47,❌ LOS
