Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-03-07,1.22,33.0,-5.75,-2.23,-10.39,❌ LOS
2025-12-16,1.53,26.86,-1.18,0.54,2.94,✅ WIN
2025-12-17,1.59,27.39,-1.78,-2.57,-0.95,❌ LOS
2025-12-18,0.95,27.35,-2.02,-0.84,0.43,✅ WIN
2025-12-19,1.22,26.71,1.01,-1.06,5.47,✅ WIN
2026-01-30,0.78,29.01,5.45,6.12,3.6,✅ WIN
2026-02-04,0.86,29.74,6.49,2.89,3.61,✅ WIN
2026-02-05,0.8,30.09,3.14,1.59,3.44,✅ WIN
2026-02-06,1.25,30.59,0.64,0.83,-1.05,❌ LOS
2026-02-09,0.99,30.83,-0.19,0.0,-1.71,❌ LOS
2026-02-10,1.42,31.51,-2.2,-4.7,-5.39,❌ LOS
2026-02-11,1.19,31.68,-3.39,-5.02,-7.14,❌ LOS
2026-02-12,1.06,31.03,-1.51,-2.7,-5.22,❌ LOS
2026-02-17,0.96,30.77,0.19,-1.71,-4.66,❌ LOS
2026-02-18,0.83,30.82,-2.56,1.55,-9.59,❌ LOS
2026-04-17,0.82,29.23,-6.99,-8.23,-16.44,❌ LOS
2026-04-23,4.88,31.21,-14.54,-17.07,-20.73,❌ LOS
