Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-01-28,6.04,36.38,3.85,9.51,16.15,✅ WIN
2026-01-29,7.31,37.13,0.05,5.6,15.58,✅ WIN
2026-02-03,5.38,36.75,4.3,11.15,17.88,✅ WIN
2026-02-04,5.05,37.78,5.45,10.3,17.62,✅ WIN
2026-02-11,7.43,39.84,4.6,6.05,19.52,✅ WIN
2026-02-12,5.72,39.21,6.03,9.45,21.13,✅ WIN
2026-02-19,4.81,41.67,1.39,6.64,18.94,✅ WIN
2026-02-26,4.5,42.25,5.18,12.69,13.98,✅ WIN
2026-03-02,8.71,43.49,4.26,10.01,12.33,✅ WIN
2026-03-03,4.48,43.27,3.6,10.99,11.43,✅ WIN
2026-03-05,6.49,44.44,7.15,11.54,5.83,✅ WIN
2026-03-06,8.1,45.41,4.6,6.81,5.14,✅ WIN
2026-03-09,9.04,45.34,5.51,5.58,7.28,✅ WIN
2026-03-10,5.05,44.83,7.13,8.19,2.48,✅ WIN
2026-03-12,8.66,47.61,4.1,1.14,-3.68,❌ LOS
2026-03-13,5.74,47.5,2.12,4.35,-2.4,❌ LOS
2026-03-16,6.5,47.84,0.06,2.11,-5.59,❌ LOS
2026-03-17,6.79,48.03,0.99,0.39,-5.7,❌ LOS
2026-03-18,5.75,48.14,1.07,-4.31,-4.83,❌ LOS
2026-03-19,17.41,49.57,-2.84,-5.12,-14.16,❌ LOS
2026-03-20,5.15,48.5,2.18,-1.57,-11.67,❌ LOS
