Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-03-21,13.97,97.17,0.44,-15.34,-14.1,❌ LOS
2026-02-11,14.17,108.81,1.12,0.32,8.98,✅ WIN
2026-02-12,16.87,108.44,0.51,3.17,10.84,✅ WIN
2026-02-13,9.77,109.03,-0.62,6.94,9.72,✅ WIN
2026-02-18,10.27,108.98,-0.46,4.64,11.88,✅ WIN
2026-03-02,23.1,116.59,-1.02,2.6,12.39,✅ WIN
2026-03-03,20.58,116.87,-3.69,3.67,11.37,✅ WIN
2026-03-09,11.47,115.4,3.67,8.68,12.6,✅ WIN
2026-03-12,11.43,118.58,4.79,10.8,1.9,✅ WIN
2026-03-13,12.58,120.19,4.13,9.77,1.42,✅ WIN
2026-03-17,9.7,121.16,5.27,7.43,-3.21,❌ LOS
2026-03-18,12.53,121.92,4.27,3.83,-1.68,❌ LOS
2026-03-19,13.36,124.26,5.74,3.57,-7.92,❌ LOS
2026-03-20,23.07,125.15,5.42,3.72,-8.25,❌ LOS
2026-03-24,11.27,127.55,2.05,-3.19,-5.22,❌ LOS
2026-03-26,10.62,131.39,-2.05,-8.03,-8.62,❌ LOS
2026-03-27,12.2,131.93,-1.61,-7.61,-9.06,❌ LOS
2026-03-30,13.39,131.04,-0.84,-10.61,-6.45,❌ LOS
2026-03-31,16.23,130.16,-5.14,-9.91,-2.84,❌ LOS
