Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-06-26,23.98,16.36,10.02,-23.53,-15.89,❌ LOS
2025-06-27,15.98,16.65,-10.93,-18.56,-17.45,❌ LOS
2025-06-30,5.35,17.07,-17.87,-19.39,-22.73,❌ LOS
2025-07-03,4.14,18.0,-30.5,-25.83,-29.72,❌ LOS
2025-07-07,10.63,14.83,-8.56,-10.52,-7.96,❌ LOS
2025-10-15,3.8,19.94,-10.73,4.16,-17.55,❌ LOS
2025-10-16,4.0,19.67,-8.19,5.44,-22.93,❌ LOS
2025-10-30,4.58,20.74,-0.72,-26.9,-18.56,❌ LOS
2025-11-03,5.01,22.9,-15.76,-35.41,-30.92,❌ LOS
2026-01-27,4.12,19.94,-11.03,-9.08,-9.33,❌ LOS
