Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-08,109.08,936.26,-3.89,2.14,4.67,✅ WIN
2024-11-21,97.17,948.02,1.7,3.87,-0.17,❌ LOS
2024-11-22,84.01,956.31,1.14,2.47,-1.46,❌ LOS
2024-11-25,111.08,953.21,2.21,3.38,-0.22,❌ LOS
2024-12-06,75.05,984.68,-0.33,-3.88,-7.18,❌ LOS
2025-01-27,71.6,957.54,4.2,10.14,9.49,✅ WIN
2025-02-03,111.5,997.8,5.69,5.11,3.2,✅ WIN
2025-02-04,103.89,1013.7,3.68,4.1,2.65,✅ WIN
2025-02-05,121.58,1034.55,2.25,-0.66,-1.45,❌ LOS
2025-02-06,140.45,1042.59,2.57,-1.41,-8.15,❌ LOS
2025-02-07,79.55,1036.62,2.69,-0.79,-10.48,❌ LOS
2025-02-10,118.3,1054.6,-0.55,-0.59,-12.38,❌ LOS
2025-02-11,99.69,1051.05,0.4,-2.49,-12.4,❌ LOS
2025-02-12,103.64,1057.78,-2.84,-4.08,-16.38,❌ LOS
2025-02-13,113.55,1069.44,-3.88,-2.62,-16.06,❌ LOS
2025-02-14,76.05,1064.46,-3.38,-2.33,-14.48,❌ LOS
2025-02-18,100.73,1048.75,-0.04,-1.81,-14.96,❌ LOS
2025-02-19,67.82,1055.22,-2.88,-1.39,-14.92,❌ LOS
2025-04-09,93.97,958.54,0.27,1.07,4.54,✅ WIN
2025-05-30,76.86,1034.36,-2.43,-4.8,-4.83,❌ LOS
2026-01-21,108.98,980.1,-2.25,-0.32,0.64,✅ WIN
