Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-21,0.54,37.33,-1.31,3.01,-6.18,❌ LOS
2025-02-24,1.03,38.01,-0.1,1.72,-7.94,❌ LOS
2025-02-25,1.13,38.31,-3.19,-4.08,-8.35,❌ LOS
2025-02-26,0.62,36.82,-2.15,-3.65,-2.25,❌ LOS
2025-02-27,0.45,36.65,-0.15,-3.46,-0.68,❌ LOS
2025-02-28,0.51,36.84,4.37,-4.09,-0.85,❌ LOS
2025-03-03,1.43,37.97,1.82,-5.52,-3.32,❌ LOS
2025-03-04,0.99,37.09,-0.92,-3.79,-1.07,❌ LOS
2025-03-07,1.81,38.45,-8.11,-8.92,-6.3,❌ LOS
2025-03-10,1.69,38.66,-7.21,-9.49,-8.49,❌ LOS
2025-07-23,0.39,31.32,-3.66,-1.86,-2.76,❌ LOS
2025-09-03,0.53,31.72,-0.71,-2.37,-5.16,❌ LOS
2025-09-05,0.4,32.0,-2.35,-1.76,-4.95,❌ LOS
2025-09-19,0.48,31.43,-4.04,-3.25,-6.55,❌ LOS
2026-02-13,0.38,28.49,-8.07,-10.75,-27.47,❌ LOS
2026-06-10,0.67,22.5,-7.74,-2.32,-1.91,❌ LOS
2026-06-11,0.41,22.35,-6.95,0.0,-0.91,❌ LOS
