Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-21,1.74,35.44,1.3,-0.62,9.68,✅ WIN
2024-09-09,1.77,36.55,5.77,4.24,16.66,✅ WIN
2024-09-10,2.39,37.81,5.5,1.24,12.72,✅ WIN
2024-09-11,4.92,40.46,-3.44,-5.07,6.28,✅ WIN
2024-09-12,1.96,39.26,-0.99,-1.15,9.91,✅ WIN
2024-09-17,3.08,39.89,-4.04,5.64,7.9,✅ WIN
2024-09-26,1.97,38.81,8.14,11.18,7.19,✅ WIN
2024-09-30,5.63,42.44,0.47,1.44,-49.6,❌ LOS
2024-10-04,1.65,42.28,1.66,-0.71,-52.46,❌ LOS
2024-10-10,2.18,43.15,-1.18,-3.59,-49.04,❌ LOS
2024-10-16,1.67,42.91,-2.56,-54.65,-54.21,❌ LOS
2025-11-24,1.72,24.0,4.83,8.04,3.75,✅ WIN
2025-11-26,1.75,25.62,7.96,4.25,-2.46,❌ LOS
2025-12-03,5.19,27.38,-5.0,-7.74,-10.92,❌ LOS
2025-12-04,3.18,27.66,-3.43,-8.21,-10.81,❌ LOS
2025-12-05,1.89,27.04,-3.74,-6.62,-4.7,❌ LOS
2025-12-08,2.4,26.27,-1.14,-3.84,-3.01,❌ LOS
2025-12-09,1.79,25.93,-0.85,-3.97,0.93,✅ WIN
2025-12-10,2.13,26.01,-2.88,-4.61,0.42,✅ WIN
2025-12-11,2.38,26.71,-4.94,-6.44,-4.61,❌ LOS
