Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-09-10,79.28,163.96,0.29,-8.89,-9.2,❌ LOS
2025-09-19,93.81,169.56,-15.71,-15.15,-15.3,❌ LOS
2025-12-02,62.55,188.44,-9.63,-25.53,-23.64,❌ LOS
2026-04-14,106.35,159.52,14.92,4.01,24.48,✅ WIN
2026-04-15,73.88,168.35,12.56,4.41,12.48,✅ WIN
2026-04-16,59.49,158.93,16.74,9.49,16.11,✅ WIN
2026-04-20,70.86,174.53,3.42,3.17,-10.46,❌ LOS
2026-04-21,97.92,183.32,-9.49,5.59,-7.82,❌ LOS
2026-04-22,80.82,189.49,-7.24,4.64,-3.44,❌ LOS
2026-04-23,55.96,185.54,-6.21,1.48,4.23,✅ WIN
2026-04-24,74.09,195.04,-5.47,-3.35,11.98,✅ WIN
2026-05-29,54.96,236.03,-12.35,6.26,4.09,✅ WIN
2026-06-02,61.03,229.0,2.32,4.45,13.14,✅ WIN
2026-06-05,55.02,206.89,21.23,46.22,19.1,✅ WIN
2026-06-08,60.89,222.27,16.71,22.38,16.39,✅ WIN
2026-06-09,107.1,234.32,2.07,14.8,13.37,✅ WIN
2026-06-10,74.41,237.68,4.9,12.77,8.46,✅ WIN
2026-06-11,96.1,264.76,2.67,-10.11,-10.53,❌ LOS
2026-06-22,71.35,302.52,-18.79,-18.55,-26.0,❌ LOS
2026-06-26,76.08,238.0,11.58,-0.47,-12.55,❌ LOS
