Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-08-11,2.38,2.67,-5.24,-3.0,-4.49,❌ LOS
2025-08-12,1.0,2.56,-3.12,-0.39,-1.17,❌ LOS
2025-08-13,0.57,2.62,-7.63,-2.29,-1.53,❌ LOS
2025-08-18,0.37,2.53,2.37,-1.19,2.37,✅ WIN
2025-08-21,0.35,2.56,1.56,-2.34,2.34,✅ WIN
2025-08-22,0.33,2.6,0.0,-4.62,-0.38,❌ LOS
2025-08-25,0.53,2.59,-3.47,-1.54,1.93,✅ WIN
2025-08-26,0.35,2.55,-0.78,-0.78,6.27,✅ WIN
2025-09-29,2.48,2.97,-14.14,-14.14,-16.84,❌ LOS
2025-09-30,0.35,2.78,-5.76,-8.99,-10.43,❌ LOS
2025-12-09,1.17,2.69,17.47,2.23,-1.49,❌ LOS
2025-12-10,1.07,2.79,8.6,-1.79,-3.94,❌ LOS
2025-12-11,0.72,2.85,4.21,-6.67,-5.96,❌ LOS
2025-12-12,5.64,3.27,-9.48,-18.65,-17.43,❌ LOS
2025-12-15,1.22,3.05,-8.85,-14.1,-13.77,❌ LOS
2025-12-16,0.8,3.16,-12.97,-16.77,-18.04,❌ LOS
2025-12-17,0.64,3.03,-9.57,-10.89,-16.5,❌ LOS
2025-12-18,0.72,2.97,-10.44,-9.09,-14.14,❌ LOS
2026-04-22,1.77,2.8,-7.86,-6.43,-4.64,❌ LOS
